s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/4RS1/P-S-R-WW2P-/R-P-S-R-P-S- b 1 1:1182725
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/5RS/P-S-R-WW2P-/R-P-S-R-P-S- b 1 1:1575941
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WWRS1P-/R-P-S-R-P-S- b 1 1:1510149
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WW1RSP-/R-P-S-R-P-S- b 1 1:1575941
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/4RS1/P-S-R-WW1R-P-/R-P-S-1P-S- b 1 1:1575941
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WWRSR-P-/R-P-S-1P-S- b 1 1:1447689
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WW1R-P-/R-P-S-RSP-S- b 1 1:1906441
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/3PS2/P-S-R-WW1R-P-/R-P-S-R-1S- b 1 1:1575941
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WWPSR-P-/R-P-S-R-1S- b 1 1:1447689
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WW1R-P-/R-P-S-R-PSS- b 1 1:1971977
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/4R-1/P-S-R-WWS-1P-/R-P-S-R-P-S- b 1 1:1578761
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/5R-/P-S-R-WWS-1P-/R-P-S-R-P-S- b 1 1:1641220
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/3SR3/6/P-S-R-WW2P-/R-P-S-R-P-S- b 1 1:1444356
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/5SR1/6/P-S-R-WW2P-/R-P-S-R-P-S- b 1 1:1575428
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/3SR2/P-S-R-WW2P-/R-P-S-R-P-S- b 1 1:1575428
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/4SR1/P-S-R-WW2P-/R-P-S-R-P-S- b 1 1:1641220
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WW1SRP-/R-P-S-R-P-S- b 1 1:1906441
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WWSR1P-/R-P-S-R-P-S- b 1 1:1444356
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/5PR1/6/P-S-R-WWS-2/R-P-S-R-P-S- b 1 1:1575428
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/5PR/P-S-R-WWS-2/R-P-S-R-P-S- b 1 1:1575428
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WWS-PR1/R-P-S-R-P-S- b 1 1:1578761
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WWS-1PR/R-P-S-R-P-S- b 1 1:1578761
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/5PR/P-S-R-WWS-1P-/R-P-S-R-1S- b 1 1:1116932
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WWS-PRP-/R-P-S-R-1S- b 1 1:1116676
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WWS-1P-/R-P-S-R-PRS- b 1 1:1445897
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/4SR1/P-S-R-WWS-1P-/R-P-S-R-P-1 b 1 1:1575941
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WWS-SRP-/R-P-S-R-P-1 b 1 1:1182725
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WWS-1P-/R-P-S-R-P-SR b 1 1:1971977
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/5P-/P-S-R-WWS-R-1/R-P-S-R-P-S- b 1 1:1971977
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/4RP2/6/P-S-R-WWS-2/R-P-S-R-P-S- b 1 1:1118217
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/6RP/6/P-S-R-WWS-2/R-P-S-R-P-S- b 1 1:656131
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/4RP1/P-S-R-WWS-2/R-P-S-R-P-S- b 1 1:1578761
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/5RP/P-S-R-WWS-2/R-P-S-R-P-S- b 1 1:1120009
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WWS-1RP/R-P-S-R-P-S- b 1 1:1578761
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WWS-RP1/R-P-S-R-P-S- b 1 1:1971977
s-p-r-s-p-r-/p-r-s-wwr-s-p-/6/7/6/P-S-R-WWS-R-SP/R-P-S-R-P-1 b 1 1:1906441
